RMSE,MAPE,MAE
3420.4,46.417,2977.3
2109.1,26.066,1672.4
2020.9,25.019,1599.6
1311.4,16.09,1024.1
1270.6,15.066,961.98
1028.8,12.589,798.44
1045.8,12.673,806.23
966.36,11.686,744.47
891.6,10.849,689.15
917.64,11.222,713.37
868.16,10.769,684.5
871.5,10.579,672.19
803.53,9.8965,627.52
831.23,10.133,644.07
796.55,9.7187,618.45
802.35,9.9061,628.54
793.86,9.6577,613.37
770.32,9.3737,596.75
759.35,9.3152,592
779.66,9.4316,598.75
772.73,9.3081,591.85
774.8,9.4355,599.6
808.39,9.5832,609.4
766.7,9.3519,594.89
785.8,9.5539,609.7
757.65,9.141,581.25
743.58,9.0677,574.35
769.86,9.1619,582.59
752.9,8.9879,572.01
750,9.035,574.22
768.75,9.2128,585.39
768.06,9.2024,586.1
783.78,9.4015,596.9
772.9,9.2211,585.48
783.13,9.2186,585.83
772.44,9.1339,579.86
769.77,9.3281,593.14
750.66,9.0549,575.75
744.02,8.928,566.16
767.33,9.1898,584.26
785.75,9.1169,577.01
810.27,9.1581,580.4
748,8.9113,565.99
768.63,9.2461,587.56
745.14,9.0148,572.11
760.66,9.0368,573.55
775.39,9.1579,580.76
740.82,8.9096,565.83
775.16,9.0757,575.28
771.31,9.1711,582.99
773.94,9.0635,574.03
779.89,9.3732,595.66
746.86,8.972,570.17
797.87,9.3751,594.97
755.53,9.0054,571.02
782.05,9.2192,585.72
755.57,9.085,577.11
783.03,9.3843,595.41
816.59,9.4506,598.87
807.46,9.3781,593.92
813.23,9.5635,606.13
789.62,9.2712,588.47
799.89,9.4051,596.83
796.77,9.3012,589.8
808.58,9.3536,592.39
789.48,9.3111,590.23
811.67,9.4443,598.9
823.61,9.5115,602.22
811.65,9.5048,602.25
808.58,9.4349,598.13
817.94,9.5196,602.34
816.57,9.4113,595.81
805.63,9.3742,592.75
817.87,9.2863,587.85
812.52,9.3722,592.53
780.04,9.2817,588.74
807.11,9.4612,599.62
782.05,9.2246,584.35
827.02,9.6149,610.12
826.39,9.5489,605.22
805.59,9.4167,597.64
796.27,9.5649,607.91
824.49,9.6792,613.98
765.2,9.1328,578.1
809.58,9.6362,611.24
831.79,9.6858,613.25
840.14,9.5974,607.01
810.98,9.5866,607.53
849.01,9.5469,603.27
806.88,9.548,606.54
800.88,9.6086,610.24
816.05,9.7217,617.05
850.37,9.8135,620.77
836.93,9.8463,626.2
879.64,10.041,636.11
809.59,9.6098,609.67
812.17,9.6571,612.33
852.33,9.8824,625.2
807.77,9.6252,609.82
834.54,9.957,633.82
877.28,10.092,640.15
828.44,9.5916,607.83
828.61,9.6953,615.66
824.22,9.7968,620.83
845.75,9.9367,630.11
856.76,10.15,644.23
862.35,10.175,646.03
914.38,10.408,660.6
866.92,9.9719,632.26
824.92,9.7102,614.42
859.85,10.188,647.65
885.24,10.298,655.5
898.04,10.587,673.88
854.07,9.9498,632.38
874.09,10.348,660.67
889.69,10.375,659.73
871.74,10.174,647.25
885.76,10.329,657.89
856.18,10.073,641.42
861.26,10.101,639.78
876.48,10.231,648.53
895.87,10.428,662.08
864.59,10.142,643.84
890.57,10.529,669.74
853.76,10.225,650.75
877.87,10.415,662.36
874.53,10.257,650.61
849.63,10.078,641.24
947.37,10.906,692.39
856.34,10.137,644.13
923.57,10.48,664.64
920.07,10.748,681.42
920.64,10.444,660.8
876.77,10.381,660.29
891.79,10.4,659.94
905.63,10.607,673.51
890.91,10.63,675.08
960,10.693,676.73
915.73,10.619,673.64
935.72,11.066,702.11
902.96,10.7,679.35
972.42,11.072,700.96
893.42,10.791,688.47
926.94,11.094,709.32
964.73,11.072,703.78
934.25,11.144,710.48
1023.6,10.982,694.63
918.4,10.816,690.41
946.21,11.136,707.95
1010.5,11.075,703.64
