RMSE,MAPE,MAE
3286.6,43.817,2797.1
2022.5,24.553,1558.2
1708.4,20.447,1297.5
1253.3,14.807,937.49
1179.7,14.269,904.68
911.73,10.788,680.04
897.26,10.576,666.02
818.2,9.7194,612.18
820.08,9.8893,624.17
769.58,9.1887,578.34
770.32,9.1108,573.23
733.89,8.9191,562.29
710.71,8.5817,540.94
722.51,8.6032,542.7
731.69,8.7191,549.5
688.35,8.2903,521.71
681.49,8.2315,516.64
690.59,8.3231,523.4
690.41,8.3075,523.45
706.91,8.4634,533.48
693.49,8.3326,522.95
688.95,8.3353,525.46
685.78,8.3339,524.01
681.76,8.23,516.33
672.21,8.2091,516.91
677.22,8.2672,520.03
681.14,8.364,525.9
699.11,8.3789,528.3
678.66,8.2654,518.83
707.4,8.4696,530.54
692.27,8.4669,530.43
714.18,8.6454,543.69
683.86,8.3636,526.13
678.31,8.255,518.48
698.98,8.5356,536.75
691.91,8.4181,529.28
690.29,8.4189,529.65
715.83,8.6441,541.54
704.96,8.5721,538.35
708.81,8.5855,538.65
708.62,8.5799,538.84
732.67,8.8565,556.25
722.67,8.7158,547.4
724.62,8.6252,541.78
719.56,8.6971,546.89
728.64,8.7665,550.8
718.85,8.6889,546.31
732.43,8.8055,552.93
769.18,9.0698,569.78
745.77,9.0705,569.43
762.22,9.2015,576.65
726.19,8.7995,552.69
734.7,8.8512,555.99
760.08,9.0898,569.42
763.51,9.181,576.15
775.93,9.3008,583.08
785.19,9.1386,573.01
751.71,8.9941,563.95
776.26,9.282,582.43
781.13,9.2381,580.11
752.03,9.0169,565.52
809.07,9.548,598.72
783.35,9.4007,591.39
777.71,9.3048,583.43
762.12,9.1748,575.77
785.98,9.3036,584.1
768.8,9.2481,581.89
793.63,9.3554,586
807.67,9.5833,601.8
844.92,9.814,616.83
793.54,9.5131,598.18
803.49,9.5027,595.37
812.26,9.518,597.53
817.94,9.6545,607.48
782.19,9.3267,586.08
806.06,9.4536,592.37
789.51,9.4123,590.93
796.15,9.4338,592.5
826.2,9.7032,609.53
788.15,9.4579,594.07
799.91,9.514,597.3
826.02,9.7812,613.24
796.99,9.4858,595.43
820.07,9.7508,612.59
816.95,9.7154,610.48
820.18,9.6867,608.5
843.45,9.785,613.23
862.53,9.9215,622.49
868.79,10.169,636.91
838.28,9.8745,620.71
843.59,10.003,628.44
877.11,10.22,642.72
865.42,10.203,640.94
904.04,10.342,648.53
858.83,10.121,636.63
885.01,10.301,646.06
888.34,10.3,645.7
837.7,9.9473,625.01
870.41,10.152,637.13
877.52,10.322,647.15
