RMSE,MAPE,MAE
1599.5,51.078,1323.7
1088.6,34.906,886.44
805.25,26.117,646.81
708.94,23.026,557.01
741.66,23.585,581.06
751.48,22.66,554.63
677.5,20.971,509.25
648.25,20.645,506.5
632.53,20.289,491.44
622.02,20.037,487.39
606,19.551,473.63
655.03,20.322,495.34
640.99,20.434,496.93
599.29,19.277,469.54
1111.4,21.567,520.94
623.93,19.731,481.39
614.01,19.613,476.98
624.06,19.277,471.22
615.76,18.845,460.95
641.02,19.661,480.4
628.61,19.24,469.71
764.88,19.845,484.07
628.5,19.476,475.45
888.87,20.457,493.67
693.73,19.561,479.13
688.23,19.837,484.78
618.18,18.998,468.28
650.63,19.476,476.74
806.5,20.323,497.92
624.92,19.243,474.29
748.43,20.229,493.83
690.6,19.189,475.9
729.58,20.548,506.89
666.11,19.698,486.16
677.01,20.172,497.76
6432.4,41.173,939.7
644.48,19.807,491.05
1018,21.852,531.72
705.16,20.132,502.74
725.18,20.793,516.21
685.7,19.934,495.99
747.06,20.353,505.68
729.47,20.593,512.51
696.66,20.517,508.85
848.68,21.974,548.4
871.15,22.342,552.73
826.4,21.874,544.23
790.19,21.421,531.16
804.92,21.689,539.52
760.28,21.189,526.1
914.01,22.356,556.02
816.99,22.044,547.51
761.29,21.763,546.68
768.39,21.866,545.62
842.28,22.205,551.47
766.58,21.576,544.25
925.49,23.68,589.04
1223.5,24.172,599.31
861.14,23.029,578.72
813.14,22.368,563.84
942.09,23.973,601.08
852.45,23.156,581.12
880.06,24.049,606.77
914.53,24.146,606.16
782.7,22.188,560.71
1026.6,24.532,612.37
988.73,24.993,626.1
924.53,23.239,584.83
837.88,23.472,593.85
945.46,24.533,617.64
921.54,25.548,643.15
1167.9,26.146,655.69
1096.2,25.636,638.23
1034.3,26.073,656.7
983.31,24.466,616.51
1030,25.502,641.07
1115.9,26.336,659.84
1166.9,26.697,669.71
1097.8,26.284,663.17
972.36,25.452,641.66
1197.8,28.458,716.21
1340.8,27.885,696.06
1332.9,26.857,673.18
969.42,25.586,649.7
1305.2,27.331,684.92
970.79,25.907,655.61
1030.7,26.951,681.97
1141.1,27.632,697.3
1111.7,26.861,679.13
1424,30.208,756.28
1133.4,27.561,699.34
1091.6,26.97,680.29
1069.8,27.298,687.5
1099.1,27.298,690.43
1292,29.263,737.4
1291.3,30.133,764.83
1247.9,28.606,717.89
1283.7,29.358,739.06
1174.2,29.527,749.19
1438.4,30.792,776.47
