RMSE,MAPE,MAE
663.19,7.5047,465.19
561.8,6.6344,409.77
608.52,7.251,451.56
553.11,6.7309,421.41
559.64,6.7354,421.02
537.57,6.5575,410.36
522.53,6.3891,399.96
524.39,6.4549,404.42
521.58,6.4289,402.32
533.67,6.5852,413.16
535.25,6.5836,413.23
533.25,6.5689,411.72
531.78,6.5167,407.83
554.62,6.8154,425.86
556.63,6.8228,427.28
554.47,6.8155,427.79
554.04,6.7646,423.67
573.56,7.0082,439.98
565.48,6.9318,434.37
585.06,7.0795,444.24
585.9,7.1714,450.34
577.47,7.0679,444.27
600.61,7.2752,456.73
618.52,7.4053,465.42
611.86,7.3485,462.42
613.37,7.3395,461.67
621.42,7.5644,475.88
606.03,7.3636,462.96
606.05,7.3309,461.14
633.92,7.5959,478.38
648.65,7.8217,492.36
651.06,7.7791,488.85
647.71,7.7141,486.55
683.91,7.965,502.21
655.64,7.8909,496.9
702.05,8.1226,511.1
710.31,8.2727,521.05
680.31,7.9105,497.39
687.21,8.1056,510.55
757.47,8.4399,530.81
731.74,8.3816,525.31
708.57,8.2214,517.87
702.66,8.2404,519.1
733.37,8.5083,535.15
722.58,8.4308,530.79
743.8,8.4074,529.4
786.15,8.662,544.6
774.49,8.7895,553.89
812.1,8.9017,559.88
862.66,9.285,583.51
859.74,9.1598,575.32
826.3,9.0947,572.07
781.63,8.8759,559.5
843.63,9.1904,578.99
854.25,9.2181,579.41
833.27,9.2499,582.83
868.8,9.3684,589.29
842.14,9.1793,578.3
928,9.6968,610.16
911.81,9.7046,611.18
907.08,9.5664,601.48
874.13,9.4697,597.59
937.65,9.851,619.69
944.2,9.8295,615.91
931.81,9.7529,614.73
963.65,10.019,629.52
951.82,10.027,629.77
1004.4,10.19,638.07
978.29,10.183,637.76
1021.3,10.511,659.71
1004.7,10.181,638.72
1010.5,10.505,659.8
1041.8,10.584,663.79
1101,10.947,688.23
1026.7,10.568,663.16
1077,10.741,673.79
1028,10.533,661.05
1088.8,10.739,672.63
1220.5,11.747,734.94
1133.8,11.085,694.08
1142.1,11.372,713.16
1140.9,11.45,717.5
1364.1,12.489,781.1
1310.6,12.179,763.23
1146.7,11.422,716.42
1201.5,11.717,735.21
1241.7,11.995,752.03
1195.1,11.702,734.45
1262.8,12.026,753.8
1225.5,11.746,739.03
1349.4,12.567,785.58
1376.7,12.657,790.51
1419.3,12.932,810.5
1441.2,13.031,818.13
1405.5,13.109,821.72
1358.6,12.586,789.77
1459.6,13.277,828.95
1667.7,14.335,896.93
1629.6,14.117,881.4
1672.2,14.293,893.91
