RMSE,MAPE,MAE
651.84,20.539,501.26
619.32,20.139,491.88
646.14,21,508.45
609.96,20.106,482.62
581.83,19.299,459.67
566.26,18.658,443.54
555.28,17.895,429.16
545.81,17.735,422.9
545.15,17.52,420.6
528.61,16.814,405.92
526.72,16.786,404.38
528.31,16.73,405.42
530.51,16.668,403.93
538.04,16.94,410.85
536.79,16.906,410.92
541.79,17.045,412.63
538.36,16.933,410.55
540.3,16.938,411.76
543.4,16.994,414.89
539.85,16.969,412.14
539.67,16.895,410.79
547.99,17.154,416.83
555.92,17.358,422.95
556.25,17.263,421.25
559.69,17.346,424.92
582.18,17.928,437.25
567.53,17.507,429.36
587.68,18.13,441.93
586.53,18.052,440.91
604.99,18.509,453.34
607.99,18.593,455.36
606.62,18.538,454.83
586.17,17.847,440.53
605.96,18.499,455.73
615.98,18.77,462.03
635.81,19.214,475.09
657.76,19.309,478.91
648.15,19.362,480.28
645.09,19.405,480.97
689.57,19.978,494.21
692.85,20.07,498.83
677.3,19.965,494.61
696.38,20.759,515.16
718.26,20.495,511.35
747.07,21.103,525.28
728.31,21.075,528.72
723.69,21,522
696.38,20.528,512.43
738.87,21.322,530.94
782.44,21.764,544.78
780.58,22.422,561.94
813.14,22.419,562.92
843.66,23.023,577.54
837.24,22.814,570.33
831.91,23.062,577.69
804.3,22.737,573.78
884.32,23.729,595.11
844.57,23.627,596.61
829.67,23.152,585.36
926.71,24.698,620.19
955.01,25.138,632.63
931.18,24.434,615.58
890.37,24.42,618.53
886.96,24.239,612.86
982.05,25.485,640.14
887.98,24.016,603.73
970.27,25.493,641.65
943.22,24.973,630.02
1007.2,25.678,646
933.7,25.517,647.54
1047.4,26.728,675.66
1040.8,27.089,690.68
1080.9,27.348,694.15
1116.6,27.925,705.49
1072.6,27.812,703.21
1042.2,27.78,704.57
1120.1,28.572,723.72
1105.8,28.255,714.85
1078,28.441,722.78
1173.2,29.069,738.38
1163,28.756,727.39
1107,28.029,712.34
1190.3,29.39,744.6
1098.2,28.679,724.49
1195.9,29.931,762.57
1238.1,29.951,758.2
1293.1,30.472,771.86
1112.4,28.866,733.98
1132.2,29.391,750.02
1287.9,31.175,788.57
1226.1,30.685,780.28
1381,31.462,794.27
1380.6,32.501,827.23
1256.1,30.787,784.3
1271.6,30.869,784.1
1400.5,33.168,840.54
1349.6,32.522,825.74
1390.8,33.322,843.9
1381.8,31.62,801.86
1360.2,33.929,865.71
