RMSE,MAPE,MAE
734.85,9.551,595.15
665.34,8.6039,535.07
741.33,9.4656,593.13
715.36,9.0476,569.74
703.67,8.894,561.86
697.31,8.7957,557.33
697.91,8.837,559.68
690.39,8.6699,550.64
689.85,8.655,551.51
679.24,8.5046,541.8
676.62,8.4782,540.01
681.42,8.4872,541.99
674.71,8.414,539.25
679.74,8.4447,540.57
679.59,8.3948,538.63
692.71,8.4795,540.92
677.18,8.2945,530.25
669.64,8.2348,525.19
661.61,8.0201,510.42
699.51,8.4639,540.33
689.1,8.2861,526.72
666.78,8.1058,515.47
689.33,8.3097,528.51
697.45,8.3478,531.04
664.22,8.0865,514.81
677.17,8.1663,518.95
675.11,8.2066,522.78
697.96,8.4596,539.15
699.62,8.4731,540.35
704.57,8.3787,532.68
692.58,8.4109,536.35
726.11,8.7473,558.02
714.03,8.6404,552.19
749.25,9.0497,579.2
756.7,9.1407,585.21
727.05,8.6556,552.5
731.07,8.858,567.15
770.42,9.2306,590.65
771.46,9.2939,596.29
787.14,9.3302,597.58
788.21,9.4736,607.98
791.89,9.5732,614.9
800.85,9.629,618.53
788.57,9.5599,613.85
787.03,9.4579,607.6
811.48,9.6875,622.58
802.44,9.6437,620.57
832.11,9.9983,643.5
836.58,9.9062,637.68
825.79,9.9145,637.7
801.73,9.5773,615.19
873.61,10.423,672.1
853.29,10.175,656.38
862.46,10.326,667.33
835.88,10.019,645.25
849.35,10.249,662.38
872.18,10.473,677.07
890.52,10.662,688.8
863.15,10.512,680.8
868.13,10.43,674.09
890.29,10.553,681.66
898.52,10.704,691.72
892.54,10.568,682.88
902.24,10.736,694.83
906.12,10.92,708.11
913.24,11.057,717.34
912.12,10.861,702.1
888.03,10.669,690.02
953.25,11.252,729.41
912.88,10.923,707.7
969.04,11.35,734.75
954.37,11.322,734.34
881.14,10.626,686.93
976.1,11.622,753.98
955.32,11.424,742.16
957.87,11.301,732.52
957.94,11.461,744.91
970.38,11.576,750.76
959.35,11.264,729.76
971.29,11.475,744
1021.2,11.856,768.22
975.61,11.569,750.32
961.86,11.547,750.23
1026,11.757,761.36
985.38,11.604,751.78
997.78,11.643,754.3
994.36,11.729,760.92
1013.4,11.735,759.52
1057.3,12.172,789.36
1023.6,12.07,783.29
1073.5,12.149,786.81
1052.8,12.108,784.4
1038.6,12.038,780.99
1049.7,12.136,786.22
988.5,11.639,751.63
1010.1,11.777,760.97
1002.9,11.776,762.07
1035.1,11.938,771.73
1081.1,12.284,794.65
1087.5,12.307,796.1
1020.7,11.76,758.15
1091.8,12.342,797.45
1067.4,12.213,791.23
1042.2,12.239,793.42
1092.2,12.326,796.78
1153.4,12.899,834.5
1071.1,12.113,780.46
1051.9,12.194,788.07
1162.9,12.92,833.27
1176.6,12.718,821.43
1111.3,12.657,818.12
1091,12.348,795.21
1099.2,12.515,810.44
1134.2,12.583,811.08
1140.5,12.829,827.32
1176.2,12.872,828.93
1107.5,12.296,790.17
1172.1,12.813,823.94
1187.7,13.124,848.33
1121.7,12.614,812.89
1118.5,12.643,814.3
1107.7,12.561,808.58
1230.2,13.108,843.03
1193.8,12.888,827.71
1209.5,13.059,839.5
1179.6,12.842,824.11
1100.5,12.539,805.68
1260.9,13.324,854.1
1201.5,13.085,839.81
1212.1,13.278,854.64
1275.2,13.115,840.01
1218.5,13.204,848.89
1216.1,12.941,826.43
1189.2,13.106,841.28
1291.7,13.368,855.5
1266.5,13.275,848.66
1184.7,13.135,841.41
1322.7,13.463,857.46
1151.2,12.535,797.09
1268.9,13.441,859.15
1371,13.44,854.51
1331.4,13.455,859.19
1211,13.081,835.06
1411,14.107,902.37
1365.9,13.532,859.51
1399.6,14,890.52
1339.9,13.333,846.53
1484.8,14.236,905.31
1350.4,13.686,866.48
1318.5,13.484,854.59
